Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,Delta,Gamma,Theta,Vega,Open.Int
.CHPT221014P13.5,CHPT 100 (Weeklys) 14 OCT 22 13.5 PUT,.41,-.06,-12.77%,"21,795",.40,.43,.88,.36,-.41,.29,-.10,.00,"21,192"
.AAL221014C12.5,AAL 100 (Weeklys) 14 OCT 22 12.5 CALL,.31,+.07,+29.17%,"14,820",.30,.31,.64,.16,.42,.38,-.08,.00,"20,242"
.TSLA221014P210,TSLA 100 (Weeklys) 14 OCT 22 210 PUT,3.60,+.93,+34.83%,"45,667",3.55,3.70,4.35,1.73,-.34,.02,-1.07,.07,"15,478"
.NCLH221014P11.5,NCLH 100 (Weeklys) 14 OCT 22 11.5 PUT,.41,+.07,+20.59%,"4,871",.40,.42,.66,.29,-.44,.33,-.09,.00,"15,351"
.INTC221014P25,INTC 100 (Weeklys) 14 OCT 22 25 PUT,.55,-.01,-1.79%,"4,957",.55,.56,.75,.38,-.47,.27,-.11,.01,"14,672"
.CCL221014P6.5,CCL 100 (Weeklys) 14 OCT 22 6.5 PUT,.19,-.14,-42.42%,"4,331",.18,.19,.51,.16,-.40,.63,-.05,.00,"13,611"
.SOFI221014P5,SOFI 100 (Weeklys) 14 OCT 22 5 PUT,.16,-.02,-11.11%,"5,087",.16,.18,.31,.10,-.49,.96,-.03,.00,"12,367"
.PBR221014C14,PBR 100 (Weeklys) 14 OCT 22 14 CALL,.27,-.21,-43.75%,165,.20,.47,.44,.25,.50,.46,-.06,.00,"12,032"
.MARA221014P10.5,MARA 100 (Weeklys) 14 OCT 22 10.5 PUT,.69,+.08,+13.11%,"2,045",.66,.70,.98,.47,-.48,.24,-.13,.00,"11,338"
.ZM221014C75,ZM 100 (Weeklys) 14 OCT 22 75 CALL,1.50,-.20,-11.76%,"1,159",1.40,1.52,1.78,.60,.41,.08,-.38,.03,"10,218"
.DISH221014P13,DISH 100 (Weeklys) 14 OCT 22 13 PUT,.30,+.10,+50.00%,76,.20,.35,.39,.30,-.32,.29,-.08,.00,"10,074"
.SNAP221014C10.5,SNAP 100 (Weeklys) 14 OCT 22 10.5 CALL,.28,-.06,-17.65%,"3,123",.27,.29,.44,.14,.44,.43,-.07,.00,"9,621"
.TWTR221014C50,TWTR 100 (Weeklys) 14 OCT 22 50 CALL,.60,-.45,-42.86%,"5,228",.56,.57,1.02,.55,.50,.28,-.11,.02,"9,391"
.AMD221014C60,AMD 100 (Weeklys) 14 OCT 22 60 CALL,.82,-.16,-16.33%,"38,882",.80,.82,1.26,.51,.32,.09,-.27,.02,"9,061"
.AAPL221014C140,AAPL 100 (Weeklys) 14 OCT 22 140 CALL,1.96,-.96,-32.88%,"39,755",1.95,1.97,3.25,1.75,.45,.07,-.46,.05,"8,442"
.AMC221014P6,AMC 100 (Weeklys) 14 OCT 22 6 PUT,.25,+.04,+19.05%,"4,598",.23,.24,.29,.16,-.39,.48,-.06,.00,"8,330"
.F221014P11.5,F 100 (Weeklys) 14 OCT 22 11.5 PUT,.26,-.12,-31.58%,"7,563",.26,.27,.48,.16,-.46,.55,-.06,.00,"8,214"
.TSLA221014P215,TSLA 100 (Weeklys) 14 OCT 22 215 PUT,5.60,+1.60,+40.00%,"51,146",5.50,5.60,6.45,2.83,-.47,.03,-1.13,.08,"7,994"
.UAL221014C35,UAL 100 (Weeklys) 14 OCT 22 35 CALL,.65,-.10,-13.33%,"3,307",.61,.66,1.56,.32,.36,.14,-.19,.01,"7,394"
.AMZN221014P110,AMZN 100 (Weeklys) 14 OCT 22 110 PUT,1.58,+.35,+28.46%,"37,305",1.55,1.63,2.44,.80,-.35,.06,-.46,.04,"7,345"
.SNAP221014P10,SNAP 100 (Weeklys) 14 OCT 22 10 PUT,.24,+.03,+14.29%,"7,714",.23,.25,.45,.16,-.35,.39,-.07,.00,"6,926"
.ET221014P11.5,ET 100 (Weeklys) 14 OCT 22 11.5 PUT,.20,-.10,-33.33%,"4,937",.19,.21,.47,.15,-.47,.73,-.04,.00,"6,817"
.AAPL221014P139,AAPL 100 (Weeklys) 14 OCT 22 139 PUT,2.46,+.37,+17.70%,"27,343",2.42,2.47,2.94,1.52,-.48,.06,-.48,.05,"6,813"
.GME221014P25,GME 100 (Weeklys) 14 OCT 22 25 PUT,.84,-.26,-23.64%,"3,806",.80,.85,1.61,.53,-.43,.16,-.19,.01,"6,616"
.UPST221014P22,UPST 100 (Weeklys) 14 OCT 22 22 PUT,.74,-.66,-47.14%,"3,462",.73,.74,1.91,.55,-.32,.11,-.22,.01,"6,612"
.AMC221014C6.5,AMC 100 (Weeklys) 14 OCT 22 6.5 CALL,.17,-.13,-43.33%,"11,340",.15,.17,.35,.14,.35,.51,-.05,.00,"6,326"
.MU221014C55,MU 100 (Weeklys) 14 OCT 22 55 CALL,.78,+.56,+254.55%,"4,380",.78,.80,1.30,.12,.37,.12,-.23,.02,"6,221"
.AA221014P37,AA 100 (Weeklys) 14 OCT 22 37 PUT,.87,+.36,+70.59%,34,.76,.82,1.03,.48,-.37,.13,-.21,.01,"6,214"
.LOW221014P192.5,LOW 100 (Weeklys) 14 OCT 22 192.5 PUT,1.33,-.92,-40.89%,10,1.75,2.02,1.89,1.33,-.32,.04,-.60,.06,"6,106"
.PLTR221014P8,PLTR 100 (Weeklys) 14 OCT 22 8 PUT,.21,0,0.00%,"4,741",.20,.22,.40,.12,-.47,.72,-.04,.00,"5,777"
.INTC221014P24.5,INTC 100 (Weeklys) 14 OCT 22 24.5 PUT,.34,-.03,-8.11%,"8,029",.34,.35,.50,.27,-.34,.25,-.10,.01,"5,745"
.AAPL221014C142,AAPL 100 (Weeklys) 14 OCT 22 142 CALL,1.13,-.79,-41.15%,"39,290",1.12,1.18,2.17,1.04,.32,.06,-.39,.04,"5,720"
.BAC221014C30.5,BAC 100 (Weeklys) 14 OCT 22 30.5 CALL,.38,-.42,-52.50%,"3,083",.37,.40,.66,.33,.35,.22,-.12,.01,"5,568"
.AAPL221014P137,AAPL 100 (Weeklys) 14 OCT 22 137 PUT,1.65,+.27,+19.57%,"13,301",1.60,1.64,2.06,.98,-.36,.06,-.46,.05,"5,555"
.KHC221014C35,KHC 100 (Weeklys) 14 OCT 22 35 CALL,.45,+.25,+125.00%,"6,306",.44,.47,.46,.11,.49,.33,-.09,.01,"5,516"
.AMZN221014P112,AMZN 100 (Weeklys) 14 OCT 22 112 PUT,2.41,+.46,+23.59%,"24,000",2.37,2.45,3.45,1.28,-.47,.06,-.49,.04,"5,504"
.T221014C15,T 100 (Weeklys) 14 OCT 22 15 CALL,.11,-.06,-35.29%,"2,891",.10,.12,.16,.08,.35,.77,-.03,.00,"5,404"
.AAPL221014P138,AAPL 100 (Weeklys) 14 OCT 22 138 PUT,2.07,+.33,+18.97%,"22,545",1.98,2.03,2.48,1.22,-.42,.06,-.48,.05,"5,403"
.AGNC221014P8,AGNC 100 (Weeklys) 14 OCT 22 8 PUT,.18,-.45,-71.43%,"5,021",.16,.18,.67,.15,-.37,.59,-.05,.00,"5,036"
.CHPT221014C14,CHPT 100 (Weeklys) 14 OCT 22 14 CALL,.40,-.10,-20.00%,"1,677",.38,.41,.49,.21,.44,.31,-.10,.00,"4,901"
.AMZN221014C115,AMZN 100 (Weeklys) 14 OCT 22 115 CALL,1.37,-.67,-32.84%,"24,316",1.36,1.42,2.89,.92,.34,.06,-.44,.04,"4,752"
.AAPL221014C141,AAPL 100 (Weeklys) 14 OCT 22 141 CALL,1.50,-.91,-37.76%,"28,014",1.50,1.54,2.70,1.36,.38,.07,-.43,.05,"4,620"
.AMD221014P56,AMD 100 (Weeklys) 14 OCT 22 56 PUT,1.09,-.06,-5.22%,"22,714",1.07,1.10,1.84,.71,-.33,.07,-.33,.02,"4,581"
.XOM221014P97,XOM 100 (Weeklys) 14 OCT 22 97 PUT,1.28,+.13,+11.30%,"2,708",1.23,1.29,2.00,.72,-.40,.09,-.33,.03,"4,516"
.FCX221014C30,FCX 100 (Weeklys) 14 OCT 22 30 CALL,.40,-.10,-20.00%,"2,497",.38,.42,.66,.18,.34,.20,-.13,.01,"4,504"
.AMD221014P58,AMD 100 (Weeklys) 14 OCT 22 58 PUT,1.98,+.03,+1.54%,"18,041",1.94,1.96,2.96,1.36,-.49,.08,-.37,.02,"4,427"
.BAC221014P29,BAC 100 (Weeklys) 14 OCT 22 29 PUT,.41,+.20,+95.24%,"1,130",.41,.43,.46,.23,-.33,.19,-.13,.01,"4,394"
.MSFT221014P225,MSFT 100 (Weeklys) 14 OCT 22 225 PUT,3.95,+1.26,+46.84%,"9,527",3.75,3.95,4.64,2.40,-.47,.04,-.78,.08,"4,380"
.MARA221014C11,MARA 100 (Weeklys) 14 OCT 22 11 CALL,.42,-.17,-28.81%,"5,630",.39,.42,.61,.31,.40,.25,-.12,.00,"4,331"
.GOOG221014P98,GOOG 100 (Weeklys) 14 OCT 22 98 PUT,1.86,+.29,+18.47%,"1,217",1.81,1.87,2.25,1.04,-.48,.09,-.36,.03,"4,258"
.AAL221014P12,AAL 100 (Weeklys) 14 OCT 22 12 PUT,.29,-.08,-21.62%,"4,860",.29,.30,.52,.15,-.39,.37,-.08,.00,"4,230"
.EBAY221014P37,EBAY 100 (Weeklys) 14 OCT 22 37 PUT,.80,+.16,+25.00%,76,.74,.77,.85,.47,-.49,.21,-.15,.01,"4,129"
.BBBY221014C5.5,BBBY 100 (Weeklys) 14 OCT 22 5.5 CALL,.13,-.04,-23.53%,"4,432",.12,.14,.20,.05,.30,.49,-.05,.00,"4,047"
.INTC221014C25.5,INTC 100 (Weeklys) 14 OCT 22 25.5 CALL,.37,-.12,-24.49%,"3,059",.36,.37,.55,.27,.39,.27,-.10,.01,"3,960"
.XOM221014P98,XOM 100 (Weeklys) 14 OCT 22 98 PUT,1.71,+.18,+11.76%,"1,968",1.63,1.74,2.45,1.02,-.49,.09,-.33,.03,"3,896"
.KSS221014P27,KSS 100 (Weeklys) 14 OCT 22 27 PUT,.62,-.15,-19.48%,95,.66,.73,.90,.39,-.48,.23,-.14,.01,"3,878"
.NVDA221014P115,NVDA 100 (Weeklys) 14 OCT 22 115 PUT,3.10,+.05,+1.64%,"14,632",3.05,3.15,4.85,2.22,-.44,.04,-.68,.04,"3,871"
.NVDA221014C120,NVDA 100 (Weeklys) 14 OCT 22 120 CALL,1.80,-.55,-23.40%,"19,604",1.81,1.84,2.91,1.16,.33,.04,-.60,.04,"3,860"
.AMD221014P57,AMD 100 (Weeklys) 14 OCT 22 57 PUT,1.48,-.01,-0.67%,"23,896",1.46,1.49,2.36,1.00,-.40,.08,-.36,.02,"3,851"
.AMD221014C59,AMD 100 (Weeklys) 14 OCT 22 59 CALL,1.16,-.19,-14.07%,"15,336",1.16,1.18,1.73,.74,.41,.10,-.31,.02,"3,755"
.BP221014C30.5,BP 100 (Weeklys) 14 OCT 22 30.5 CALL,.28,-.27,-49.09%,246,.26,.28,.51,.26,.32,.27,-.09,.01,"3,752"
.BBBY221014P5,BBBY 100 (Weeklys) 14 OCT 22 5 PUT,.26,+.14,+116.67%,"4,416",.23,.27,.33,.11,-.44,.56,-.05,.00,"3,712"
.TSLA221014C220,TSLA 100 (Weeklys) 14 OCT 22 220 CALL,4.70,-4.22,-47.31%,"42,436",4.70,4.80,10.00,4.25,.41,.02,-1.25,.07,"3,666"
.BP221014C30,BP 100 (Weeklys) 14 OCT 22 30 CALL,.47,-.36,-43.37%,97,.45,.48,.74,.45,.46,.29,-.10,.01,"3,602"
.CLF221014C15.5,CLF 100 (Weeklys) 14 OCT 22 15.5 CALL,.37,-.20,-35.09%,"1,468",.36,.39,.56,.30,.46,.36,-.09,.01,"3,590"
.META221014P125,META 100 (Weeklys) 14 OCT 22 125 PUT,1.81,+1.06,+141.33%,"9,760",1.76,1.80,2.57,.95,-.32,.04,-.56,.04,"3,542"
.FCX221014P29,FCX 100 (Weeklys) 14 OCT 22 29 PUT,.57,-.16,-21.92%,63,.74,.78,1.07,.50,-.45,.19,-.16,.01,"3,469"
.PFE221014P41.5,PFE 100 (Weeklys) 14 OCT 22 41.5 PUT,.42,-.07,-14.29%,"1,340",.40,.44,.62,.21,-.39,.26,-.11,.01,"3,406"
.U221014P31,U 100 (Weeklys) 14 OCT 22 31 PUT,1.24,+.27,+27.84%,954,1.16,1.24,1.85,.87,-.46,.13,-.24,.01,"3,291"
.NKLA221014C3,NKLA 100 (Weeklys) 14 OCT 22 3 CALL,.12,-.01,-7.69%,"3,958",.10,.11,.17,.06,.49,1.40,-.02,.00,"3,268"
.SHOP221014P25,SHOP 100 (Weeklys) 14 OCT 22 25 PUT,.70,+.21,+42.86%,"1,041",.69,.72,1.06,.48,-.37,.15,-.19,.01,"3,235"
.XOM221014C100,XOM 100 (Weeklys) 14 OCT 22 100 CALL,.85,-.54,-38.85%,"3,081",.81,.86,1.62,.53,.32,.09,-.27,.03,"3,153"
.DAL221014C29.5,DAL 100 (Weeklys) 14 OCT 22 29.5 CALL,.68,-.30,-30.61%,"1,259",.68,.70,1.79,.55,.42,.16,-.18,.01,"3,038"
.RIOT221014P6,RIOT 100 (Weeklys) 14 OCT 22 6 PUT,.24,+.06,+33.33%,"1,690",.23,.26,.33,.15,-.38,.45,-.06,.00,"3,026"
.KSS221014P26.5,KSS 100 (Weeklys) 14 OCT 22 26.5 PUT,.49,-.04,-7.55%,255,.44,.51,.67,.22,-.37,.21,-.13,.01,"3,000"
.KO221014C55,KO 100 (Weeklys) 14 OCT 22 55 CALL,.45,+.02,+4.65%,"1,189",.44,.46,.76,.35,.39,.23,-.12,.02,"2,939"
.WBA221014P31.5,WBA 100 (Weeklys) 14 OCT 22 31.5 PUT,.64,-.27,-29.67%,149,.65,.69,.76,.53,-.33,.13,-.20,.01,"2,932"
.HOOD221014C10.5,HOOD 100 (Weeklys) 14 OCT 22 10.5 CALL,.30,-.07,-18.92%,"3,515",.30,.31,.40,.11,.49,.48,-.06,.00,"2,928"
.WBA221014P32,WBA 100 (Weeklys) 14 OCT 22 32 PUT,.84,-.29,-25.66%,"1,343",.80,.88,1.10,.66,-.40,.14,-.21,.01,"2,907"
.NCLH221014C12,NCLH 100 (Weeklys) 14 OCT 22 12 CALL,.31,-.16,-34.04%,"1,083",.30,.31,.52,.20,.40,.33,-.09,.00,"2,886"
.GOOGL221014P95,GOOGL 100 (Weeklys) 14 OCT 22 95 PUT,1.01,+.11,+12.22%,"1,577",1.01,1.04,1.32,.53,-.32,.07,-.33,.03,"2,864"
.MARA221014P10,MARA 100 (Weeklys) 14 OCT 22 10 PUT,.43,+.01,+2.38%,"2,257",.44,.47,.72,.31,-.36,.22,-.12,.00,"2,844"
.BABA221014P75,BABA 100 (Weeklys) 14 OCT 22 75 PUT,1.64,+.97,+144.78%,"3,325",1.61,1.70,2.50,1.07,-.44,.08,-.36,.03,"2,825"
.NFLX221014P210,NFLX 100 (Weeklys) 14 OCT 22 210 PUT,4.20,+3.32,+377.27%,"15,935",4.10,4.30,4.70,.87,-.37,.02,-1.14,.07,"2,814"
.TSLA221014P212.5,TSLA 100 (Weeklys) 14 OCT 22 212.5 PUT,4.55,+1.25,+37.88%,"17,059",4.45,4.55,5.32,2.22,-.40,.03,-1.12,.07,"2,777"
.NFLX221014P215,NFLX 100 (Weeklys) 14 OCT 22 215 PUT,6.45,+4.84,+300.62%,"7,960",6.25,6.55,7.00,1.62,-.49,.03,-1.20,.08,"2,775"
.ROKU221014P50,ROKU 100 (Weeklys) 14 OCT 22 50 PUT,1.10,+.36,+48.65%,930,1.11,1.19,1.60,.80,-.34,.08,-.34,.02,"2,764"
.GOOG221014C100,GOOG 100 (Weeklys) 14 OCT 22 100 CALL,1.02,-.38,-27.14%,"5,483",1.00,1.07,1.93,.82,.35,.08,-.32,.03,"2,762"
.VXX221014C22,VXX 100 (Weeklys) 14 OCT 22 22 CALL,.68,+.11,+19.30%,"1,354",.65,.68,.80,.40,.47,.20,-.15,.01,"2,717"
.AAPL221014P136,AAPL 100 (Weeklys) 14 OCT 22 136 PUT,1.30,+.14,+12.07%,"4,931",1.28,1.31,1.68,.75,-.31,.05,-.43,.04,"2,705"
.WBD221014C12,WBD 100 (Weeklys) 14 OCT 22 12 CALL,.18,-.17,-48.57%,698,.16,.18,.35,.13,.33,.45,-.06,.00,"2,653"
.GOOGL221014C99,GOOGL 100 (Weeklys) 14 OCT 22 99 CALL,1.08,-.35,-24.48%,"6,203",1.07,1.09,2.00,.83,.36,.08,-.33,.03,"2,646"
.THC221014P53,THC 100 (Weeklys) 14 OCT 22 53 PUT,1.00,0,0.00%,626,.85,1.60,1.05,1.00,-.46,.12,-.26,.02,"2,618"
.FSR221014P6.5,FSR 100 (Weeklys) 14 OCT 22 6.5 PUT,.16,+.04,+33.33%,539,.14,.16,.19,.08,-.33,.54,-.05,.00,"2,611"
.X221014P19.5,X 100 (Weeklys) 14 OCT 22 19.5 PUT,.53,-.08,-13.11%,530,.53,.56,.83,.44,-.49,.29,-.11,.01,"2,582"
.AMZN221014P111,AMZN 100 (Weeklys) 14 OCT 22 111 PUT,2.00,+.49,+32.45%,"13,755",1.92,2.01,2.94,1.01,-.41,.06,-.48,.04,"2,556"
.MU221014C54,MU 100 (Weeklys) 14 OCT 22 54 CALL,1.19,+.76,+176.74%,"3,519",1.21,1.24,1.85,.20,.50,.12,-.25,.02,"2,505"
.BAC221014C30,BAC 100 (Weeklys) 14 OCT 22 30 CALL,.58,-.54,-48.21%,"5,081",.59,.61,.91,.52,.46,.22,-.14,.01,"2,469"
.TSLA221014C222.5,TSLA 100 (Weeklys) 14 OCT 22 222.5 CALL,3.75,-3.75,-50.00%,"43,071",3.70,3.80,8.50,3.30,.35,.02,-1.16,.07,"2,451"
.AG221014C8.5,AG 100 (Weeklys) 14 OCT 22 8.5 CALL,.15,-.03,-16.67%,419,.12,.15,.27,.10,.33,.55,-.04,.00,"2,443"
.GOOG221014P96,GOOG 100 (Weeklys) 14 OCT 22 96 PUT,1.06,+.16,+17.78%,"1,286",1.02,1.08,1.37,.55,-.32,.07,-.33,.03,"2,427"
.MO221014C45,MO 100 (Weeklys) 14 OCT 22 45 CALL,.32,+.23,+255.56%,"2,704",.30,.35,.61,.15,.33,.24,-.10,.01,"2,422"
.NKE221014P86,NKE 100 (Weeklys) 14 OCT 22 86 PUT,.89,-.48,-35.04%,862,.85,.90,1.73,.75,-.31,.08,-.29,.03,"2,417"
.VXX221014C23,VXX 100 (Weeklys) 14 OCT 22 23 CALL,.39,+.05,+14.71%,603,.39,.43,.50,.25,.31,.16,-.15,.01,"2,399"
.GOOGL221014P97,GOOGL 100 (Weeklys) 14 OCT 22 97 PUT,1.79,+.26,+16.99%,"4,214",1.75,1.81,2.20,.98,-.47,.08,-.36,.03,"2,398"
.FAZE221014P5,FAZE 100 (Weeklys) 14 OCT 22 5 PUT,.30,-.16,-34.78%,164,.15,.40,.45,.25,-.30,.28,-.08,.00,"2,375"
.OXY221014P64,OXY 100 (Weeklys) 14 OCT 22 64 PUT,1.51,+.49,+48.04%,"5,422",1.45,1.52,2.26,.98,-.48,.10,-.29,.02,"2,347"
.AMZN221014C114,AMZN 100 (Weeklys) 14 OCT 22 114 CALL,1.77,-.75,-29.76%,"12,785",1.73,1.80,3.50,1.23,.40,.06,-.48,.04,"2,309"
.KO221014P54,KO 100 (Weeklys) 14 OCT 22 54 PUT,.49,-.02,-3.92%,"1,554",.46,.50,.53,.23,-.39,.22,-.13,.02,"2,254"
.JBLU221014C6.5,JBLU 100 (Weeklys) 14 OCT 22 6.5 CALL,.15,-.09,-37.50%,214,.12,.15,.38,.11,.42,.83,-.04,.00,"2,223"
.PDD221014P55,PDD 100 (Weeklys) 14 OCT 22 55 PUT,1.40,+.55,+64.71%,"1,043",1.36,1.45,1.95,.72,-.42,.09,-.33,.02,"2,211"
.CSCO221014C40,CSCO 100 (Weeklys) 14 OCT 22 40 CALL,.44,-.24,-35.29%,"1,276",.42,.45,.67,.33,.40,.25,-.12,.01,"2,152"
.VXX221014P21,VXX 100 (Weeklys) 14 OCT 22 21 PUT,.36,-.15,-29.41%,"1,506",.31,.38,.63,.30,-.31,.21,-.11,.01,"2,107"
.PTON221014C9,PTON 100 (Weeklys) 14 OCT 22 9 CALL,.30,-.23,-43.40%,705,.30,.32,.55,.18,.44,.39,-.08,.00,"2,093"
.WFC221014P40,WFC 100 (Weeklys) 14 OCT 22 40 PUT,1.10,+.53,+92.98%,"2,318",1.09,1.13,1.19,.74,-.45,.13,-.24,.01,"2,084"
.UPST221014C25,UPST 100 (Weeklys) 14 OCT 22 25 CALL,.61,+.45,+281.25%,"3,890",.58,.62,.96,.08,.32,.12,-.21,.01,"2,066"
.AMZN221014C113,AMZN 100 (Weeklys) 14 OCT 22 113 CALL,2.20,-.85,-27.87%,"15,570",2.17,2.25,4.10,1.55,.46,.06,-.50,.04,"2,065"
.NVDA221014C117,NVDA 100 (Weeklys) 14 OCT 22 117 CALL,3.05,-.65,-17.57%,"9,396",2.99,3.05,4.44,2.00,.47,.04,-.69,.04,"2,012"
.UAL221014P33.5,UAL 100 (Weeklys) 14 OCT 22 33.5 PUT,.84,+.01,+1.20%,721,.84,.90,1.48,.28,-.42,.14,-.20,.01,"2,005"
.DAL221014P28,DAL 100 (Weeklys) 14 OCT 22 28 PUT,.62,+.10,+19.23%,"1,542",.62,.65,.82,.22,-.35,.14,-.18,.01,"1,973"
