Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,Delta,Gamma,Theta,Vega,Open.Int
.ZIM221014C25,ZIM 100 (Weeklys) 14 OCT 22 25 CALL,.40,-.15,-27.27%,123,.35,.40,.60,.20,.30,.17,-.12,.01,"1,972"
.GME221014C26,GME 100 (Weeklys) 14 OCT 22 26 CALL,.60,-.07,-10.45%,"5,253",.53,.60,1.19,.35,.39,.18,-.16,.01,"1,965"
.DAL221014P28.5,DAL 100 (Weeklys) 14 OCT 22 28.5 PUT,.81,+.15,+22.73%,"3,161",.80,.84,1.06,.30,-.42,.15,-.19,.01,"1,960"
.LCID221014C13,LCID 100 (Weeklys) 14 OCT 22 13 CALL,.29,-.02,-6.45%,"4,003",.30,.33,.61,.22,.42,.35,-.08,.00,"1,936"
.XPEV221014C9.5,XPEV 100 (Weeklys) 14 OCT 22 9.5 CALL,.31,-.14,-31.11%,"2,814",.30,.32,.72,.27,.46,.42,-.07,.00,"1,915"
.SNOW221014P150,SNOW 100 (Weeklys) 14 OCT 22 150 PUT,3.90,+1.28,+48.85%,"3,304",3.80,4.00,8.20,2.85,-.38,.03,-1.02,.05,"1,905"
.COIN221014P70,COIN 100 (Weeklys) 14 OCT 22 70 PUT,3.50,-1.50,-30.00%,"2,932",3.35,3.55,6.35,2.30,-.47,.04,-.68,.02,"1,899"
.LOW221014C200,LOW 100 (Weeklys) 14 OCT 22 200 CALL,2.00,+.50,+33.33%,602,1.83,1.98,2.57,1.40,.35,.04,-.59,.06,"1,874"
.GOOG221014C99,GOOG 100 (Weeklys) 14 OCT 22 99 CALL,1.44,-.44,-23.40%,"1,233",1.41,1.48,2.51,1.17,.43,.08,-.36,.03,"1,796"
.NFLX221014P207.5,NFLX 100 (Weeklys) 14 OCT 22 207.5 PUT,3.34,+2.71,+430.16%,"2,804",3.25,3.35,3.71,.67,-.31,.02,-1.06,.07,"1,776"
.MSFT221014C230,MSFT 100 (Weeklys) 14 OCT 22 230 CALL,2.18,-1.82,-45.50%,"15,045",2.18,2.29,3.75,1.89,.34,.04,-.71,.07,"1,771"
.BA221014C134,BA 100 (Weeklys) 14 OCT 22 134 CALL,2.24,-.41,-15.47%,"1,419",2.19,2.28,4.10,1.61,.35,.04,-.70,.04,"1,771"
.ZS221014P145,ZS 100 (Weeklys) 14 OCT 22 145 PUT,3.43,+2.03,+145.00%,"1,411",3.00,3.25,4.55,2.34,-.36,.03,-.87,.05,"1,766"
.DAL221014C30,DAL 100 (Weeklys) 14 OCT 22 30 CALL,.52,-.25,-32.47%,"4,006",.50,.52,1.45,.40,.34,.15,-.17,.01,"1,732"
.COIN221014C75,COIN 100 (Weeklys) 14 OCT 22 75 CALL,1.65,+.86,+108.86%,"9,412",1.60,1.70,2.36,.55,.32,.04,-.58,.02,"1,705"
.GOOG221014P97,GOOG 100 (Weeklys) 14 OCT 22 97 PUT,1.49,+.34,+29.57%,925,1.37,1.43,1.78,.76,-.40,.08,-.35,.03,"1,663"
.C221014P40,C 100 (Weeklys) 14 OCT 22 40 PUT,1.05,+.40,+61.54%,"1,110",1.05,1.09,1.08,.72,-.42,.12,-.25,.01,"1,647"
.PEP221014P160,PEP 100 (Weeklys) 14 OCT 22 160 PUT,1.58,-.19,-10.73%,"2,154",1.51,1.58,2.19,.94,-.34,.06,-.46,.05,"1,610"
.XOM221014P96,XOM 100 (Weeklys) 14 OCT 22 96 PUT,.94,+.08,+9.30%,"1,907",.87,.94,1.48,.50,-.31,.08,-.30,.03,"1,603"
.X221014C20,X 100 (Weeklys) 14 OCT 22 20 CALL,.28,-.04,-12.50%,"1,283",.28,.30,.41,.17,.36,.30,-.09,.01,"1,600"
.LI221014P19,LI 100 (Weeklys) 14 OCT 22 19 PUT,.41,-.41,-50.00%,"1,006",.38,.44,.89,.25,-.34,.22,-.12,.01,"1,594"
.NVDA221014P112,NVDA 100 (Weeklys) 14 OCT 22 112 PUT,1.96,0,0.00%,"4,595",1.93,1.96,3.30,1.34,-.32,.04,-.61,.04,"1,588"
.M221014C18,M 100 (Weeklys) 14 OCT 22 18 CALL,.29,+.08,+38.10%,593,.28,.31,.61,.14,.37,.31,-.09,.01,"1,572"
.C221014C42,C 100 (Weeklys) 14 OCT 22 42 CALL,.63,-.47,-42.73%,"1,778",.62,.66,1.93,.63,.33,.12,-.21,.01,"1,558"
.JPM221014P100,JPM 100 (Weeklys) 14 OCT 22 100 PUT,1.90,+.96,+102.13%,"1,306",1.86,1.96,1.95,1.09,-.37,.05,-.52,.03,"1,555"
.GOLD221014P15,GOLD 100 (Weeklys) 14 OCT 22 15 PUT,.28,+.07,+33.33%,997,.27,.29,.28,.15,-.49,.56,-.06,.01,"1,554"
.BA221014C135,BA 100 (Weeklys) 14 OCT 22 135 CALL,1.88,-.24,-11.32%,"7,869",1.80,1.96,3.50,1.31,.31,.04,-.65,.04,"1,551"
.GME221014C26.5,GME 100 (Weeklys) 14 OCT 22 26.5 CALL,.44,-.11,-20.00%,"2,109",.42,.46,.97,.28,.32,.16,-.15,.01,"1,536"
.FUTU221014P35,FUTU 100 (Weeklys) 14 OCT 22 35 PUT,1.21,+.13,+12.04%,12,1.12,1.18,1.31,.96,-.48,.14,-.23,.01,"1,534"
.NVDA221014P116,NVDA 100 (Weeklys) 14 OCT 22 116 PUT,3.58,+.16,+4.68%,"4,360",3.55,3.65,5.46,2.58,-.49,.04,-.68,.04,"1,531"
.SLB221014C42,SLB 100 (Weeklys) 14 OCT 22 42 CALL,.76,-.36,-32.14%,441,.75,.79,1.04,.63,.47,.18,-.17,.01,"1,528"
.XOM221014C99,XOM 100 (Weeklys) 14 OCT 22 99 CALL,1.23,-.63,-33.87%,"1,643",1.21,1.29,2.16,.92,.42,.09,-.32,.03,"1,519"
.CHPT221014C14.5,CHPT 100 (Weeklys) 14 OCT 22 14.5 CALL,.25,-.05,-16.67%,"2,656",.23,.25,.30,.11,.30,.27,-.09,.00,"1,508"
.ABT221014P101,ABT 100 (Weeklys) 14 OCT 22 101 PUT,1.12,-.53,-32.12%,57,1.27,1.44,2.01,1.12,-.42,.09,-.32,.04,"1,508"
.RIOT221014C6.5,RIOT 100 (Weeklys) 14 OCT 22 6.5 CALL,.19,-.07,-26.92%,"7,096",.19,.20,.28,.13,.38,.48,-.06,.00,"1,507"
.PLUG221014P19,PLUG 100 (Weeklys) 14 OCT 22 19 PUT,.48,-.03,-5.88%,963,.45,.50,.80,.41,-.33,.17,-.14,.01,"1,494"
.NIO221014C13,NIO 100 (Weeklys) 14 OCT 22 13 CALL,.39,-.30,-43.48%,"6,600",.39,.41,.73,.32,.44,.31,-.10,.00,"1,469"
.DKNG221014P13.5,DKNG 100 (Weeklys) 14 OCT 22 13.5 PUT,.52,+.15,+40.54%,"2,586",.50,.55,1.16,.34,-.44,.26,-.12,.00,"1,455"
.LI221014C20,LI 100 (Weeklys) 14 OCT 22 20 CALL,.53,+.23,+76.67%,"3,203",.51,.55,.98,.17,.43,.22,-.13,.01,"1,450"
.NVDA221014C118,NVDA 100 (Weeklys) 14 OCT 22 118 CALL,2.58,-.57,-18.10%,"7,381",2.55,2.59,3.90,1.68,.42,.04,-.66,.04,"1,443"
.CVS221014C90,CVS 100 (Weeklys) 14 OCT 22 90 CALL,.66,-.07,-9.59%,"2,027",.64,.73,1.25,.37,.33,.11,-.22,.03,"1,435"
.UAL221014C34.5,UAL 100 (Weeklys) 14 OCT 22 34.5 CALL,.84,-.13,-13.40%,181,.81,.86,1.37,.46,.43,.14,-.21,.01,"1,433"
.UBER221014P24,UBER 100 (Weeklys) 14 OCT 22 24 PUT,.56,+.49,+700.00%,"8,074",.55,.58,1.61,.15,-.36,.17,-.16,.01,"1,420"
.WBA221014C33,WBA 100 (Weeklys) 14 OCT 22 33 CALL,.96,+.40,+71.43%,586,.91,.95,1.16,.60,.46,.14,-.21,.01,"1,417"
.LCID221014P12.5,LCID 100 (Weeklys) 14 OCT 22 12.5 PUT,.40,-.12,-23.08%,"2,586",.37,.40,.77,.22,-.41,.32,-.09,.00,"1,416"
.GOOGL221014P96,GOOGL 100 (Weeklys) 14 OCT 22 96 PUT,1.34,+.21,+18.58%,"4,226",1.31,1.38,1.70,.73,-.39,.08,-.35,.03,"1,409"
.OXY221014C65,OXY 100 (Weeklys) 14 OCT 22 65 CALL,1.11,-1.04,-48.37%,"3,275",1.08,1.15,1.81,.75,.42,.10,-.29,.02,"1,406"
.MSFT221014P222.5,MSFT 100 (Weeklys) 14 OCT 22 222.5 PUT,2.87,+1.04,+56.83%,"6,314",2.78,2.89,3.46,1.67,-.38,.04,-.76,.08,"1,393"
.PCG221014C14.5,PCG 100 (Weeklys) 14 OCT 22 14.5 CALL,.17,+.01,+6.25%,684,.16,.18,.21,.12,.36,.52,-.05,.00,"1,391"
.LOW221014P195,LOW 100 (Weeklys) 14 OCT 22 195 PUT,2.80,-.35,-11.11%,69,2.60,2.84,3.60,2.07,-.42,.05,-.65,.07,"1,385"
.CVX221014C160,CVX 100 (Weeklys) 14 OCT 22 160 CALL,1.48,-.12,-7.50%,"1,524",1.30,1.46,2.55,.61,.34,.06,-.44,.05,"1,358"
.GOOGL221014C98,GOOGL 100 (Weeklys) 14 OCT 22 98 CALL,1.48,-.36,-19.57%,"4,936",1.48,1.50,2.60,1.17,.44,.08,-.36,.03,"1,337"
.VXX221014P21.5,VXX 100 (Weeklys) 14 OCT 22 21.5 PUT,.60,-.20,-25.00%,166,.59,.63,.94,.54,-.43,.21,-.14,.01,"1,337"
.DIS221014C95,DIS 100 (Weeklys) 14 OCT 22 95 CALL,1.01,-.99,-49.50%,"1,690",.94,1.00,1.80,.88,.34,.09,-.31,.03,"1,336"
.MO221014C44.5,MO 100 (Weeklys) 14 OCT 22 44.5 CALL,.47,+.28,+147.37%,"1,725",.49,.54,1.00,.20,.46,.27,-.11,.02,"1,321"
.AFRM221014C20,AFRM 100 (Weeklys) 14 OCT 22 20 CALL,.69,+.24,+53.33%,"1,290",.68,.72,.98,.19,.43,.16,-.18,.01,"1,307"
.CAG221014C34,CAG 100 (Weeklys) 14 OCT 22 34 CALL,.29,+.05,+20.83%,399,.25,.35,.36,.20,.45,.45,-.07,.01,"1,306"
.M221014P17,M 100 (Weeklys) 14 OCT 22 17 PUT,.27,-.14,-34.15%,"1,643",.26,.27,.50,.13,-.32,.29,-.08,.01,"1,302"
.ENPH221014P250,ENPH 100 (Weeklys) 14 OCT 22 250 PUT,5.90,+.40,+7.27%,918,5.60,5.90,9.70,4.72,-.37,.02,-1.55,.09,"1,294"
.PTON221014P8.5,PTON 100 (Weeklys) 14 OCT 22 8.5 PUT,.28,+.03,+12.00%,"1,823",.28,.30,.58,.19,-.37,.36,-.08,.00,"1,294"
.ZM221014C74,ZM 100 (Weeklys) 14 OCT 22 74 CALL,1.65,-.54,-24.66%,"1,107",1.85,2.00,2.32,.85,.49,.08,-.40,.03,"1,293"
.CVNA221014P17.5,CVNA 100 (Weeklys) 14 OCT 22 17.5 PUT,.70,-.20,-22.22%,760,.65,.75,1.10,.41,-.35,.13,-.20,.01,"1,291"
.CVNA221014C20,CVNA 100 (Weeklys) 14 OCT 22 20 CALL,.50,-.05,-9.09%,"1,644",.45,.55,1.00,.26,.31,.13,-.18,.01,"1,285"
.DVN221014C70,DVN 100 (Weeklys) 14 OCT 22 70 CALL,1.12,-1.08,-49.09%,"1,149",1.05,1.14,2.10,.99,.38,.09,-.31,.02,"1,280"
.C221014P40.5,C 100 (Weeklys) 14 OCT 22 40.5 PUT,1.26,+.50,+65.79%,747,1.27,1.30,1.30,.86,-.48,.12,-.25,.01,"1,280"
.XPEV221014P9,XPEV 100 (Weeklys) 14 OCT 22 9 PUT,.19,+.01,+5.56%,565,.18,.20,.30,.10,-.32,.42,-.06,.00,"1,280"
.OXY221014C66,OXY 100 (Weeklys) 14 OCT 22 66 CALL,.75,-.77,-50.66%,"5,743",.74,.78,1.32,.52,.32,.09,-.26,.02,"1,273"
.PYPL221014P82,PYPL 100 (Weeklys) 14 OCT 22 82 PUT,1.72,+.38,+28.36%,"4,216",1.68,1.78,3.50,1.21,-.40,.07,-.43,.03,"1,259"
.PLUG221014P19.5,PLUG 100 (Weeklys) 14 OCT 22 19.5 PUT,.67,-.04,-5.63%,644,.64,.66,1.06,.57,-.42,.20,-.15,.01,"1,242"
.TSLA221014C217.5,TSLA 100 (Weeklys) 14 OCT 22 217.5 CALL,5.95,-4.50,-43.06%,"9,489",5.85,6.00,11.65,5.30,.47,.02,-1.32,.08,"1,231"
.APA221014C42,APA 100 (Weeklys) 14 OCT 22 42 CALL,.60,-.44,-42.31%,168,.60,.63,1.03,.53,.32,.12,-.21,.01,"1,230"
.SBUX221014P86,SBUX 100 (Weeklys) 14 OCT 22 86 PUT,1.40,+.45,+47.37%,676,1.37,1.42,1.70,.99,-.47,.11,-.29,.03,"1,228"
.BAC221014P29.5,BAC 100 (Weeklys) 14 OCT 22 29.5 PUT,.61,+.32,+110.34%,"2,145",.59,.62,.67,.32,-.43,.21,-.14,.01,"1,228"
.COST221014P465,COST 100 (Weeklys) 14 OCT 22 465 PUT,4.49,-2.12,-32.07%,564,4.25,4.50,7.85,3.15,-.34,.02,-1.31,.15,"1,226"
.WMT221014C134,WMT 100 (Weeklys) 14 OCT 22 134 CALL,1.07,+.79,+282.14%,"6,783",1.05,1.10,1.60,.24,.38,.09,-.30,.04,"1,224"
.BA221014P129,BA 100 (Weeklys) 14 OCT 22 129 PUT,2.30,0,0.00%,561,2.16,2.31,3.10,1.06,-.44,.06,-.50,.05,"1,213"
.VZ221014P35.5,VZ 100 (Weeklys) 14 OCT 22 35.5 PUT,.29,+.14,+93.33%,256,.28,.29,.29,.16,-.35,.31,-.09,.01,"1,213"
.PARA221014C18.5,PARA 100 (Weeklys) 14 OCT 22 18.5 CALL,.34,-.20,-37.04%,161,.33,.36,.53,.31,.43,.35,-.09,.01,"1,212"
.TMUS221014P135,TMUS 100 (Weeklys) 14 OCT 22 135 PUT,1.16,+.25,+27.47%,24,1.05,1.20,1.16,.79,-.33,.07,-.35,.04,"1,201"
.CLF221014P15,CLF 100 (Weeklys) 14 OCT 22 15 PUT,.30,+.07,+30.43%,474,.29,.32,.40,.21,-.37,.32,-.08,.01,"1,200"
.RIVN221014C32.5,RIVN 100 (Weeklys) 14 OCT 22 32.5 CALL,1.09,+.26,+31.33%,"1,593",1.04,1.10,1.88,.59,.50,.14,-.22,.01,"1,190"
.CS221014P4,CS 100 (Weeklys) 14 OCT 22 4 PUT,.13,+.03,+30.00%,"3,693",.10,.15,.15,.05,-.31,.59,-.04,.00,"1,189"
.DWAC221014C17,DWAC 100 (Weeklys) 14 OCT 22 17 CALL,.18,-.10,-35.71%,65,.17,.31,.29,.14,.30,.27,-.08,.01,"1,182"
.PYPL221014C86,PYPL 100 (Weeklys) 14 OCT 22 86 CALL,1.06,-.72,-40.45%,"1,529",1.03,1.11,1.74,.40,.32,.07,-.36,.03,"1,178"
.COST221014C480,COST 100 (Weeklys) 14 OCT 22 480 CALL,4.00,+1.58,+65.29%,762,3.85,4.20,6.05,1.91,.34,.02,-1.26,.15,"1,176"
.KMI221014P17,KMI 100 (Weeklys) 14 OCT 22 17 PUT,.17,-.06,-26.09%,651,.15,.17,.32,.10,-.37,.62,-.04,.01,"1,172"
.WBA221014C33.5,WBA 100 (Weeklys) 14 OCT 22 33.5 CALL,.70,+.28,+66.67%,677,.69,.73,.86,.43,.39,.14,-.20,.01,"1,168"
.AR221014C35,AR 100 (Weeklys) 14 OCT 22 35 CALL,.43,+.07,+19.44%,712,.40,.55,1.00,.35,.33,.16,-.16,.01,"1,163"
.RIVN221014P31,RIVN 100 (Weeklys) 14 OCT 22 31 PUT,.63,-.45,-41.67%,"2,558",.60,.64,1.30,.34,-.31,.12,-.20,.01,"1,150"
.QCOM221014P110,QCOM 100 (Weeklys) 14 OCT 22 110 PUT,2.72,+1.57,+136.52%,"1,290",2.65,2.71,3.38,1.66,-.48,.06,-.53,.04,"1,135"
.PCG221014P14,PCG 100 (Weeklys) 14 OCT 22 14 PUT,.22,-.01,-4.35%,230,.17,.19,.42,.16,-.36,.54,-.05,.00,"1,134"
.DIS221014P93,DIS 100 (Weeklys) 14 OCT 22 93 PUT,1.75,+.84,+92.31%,"2,038",1.69,1.79,1.95,.95,-.48,.09,-.35,.03,"1,128"
.NVDA221014P113,NVDA 100 (Weeklys) 14 OCT 22 113 PUT,2.26,-.01,-0.44%,"7,674",2.27,2.31,3.80,1.60,-.36,.04,-.64,.04,"1,127"
.MRK221014C92,MRK 100 (Weeklys) 14 OCT 22 92 CALL,.60,+.20,+50.00%,888,.59,.64,1.03,.30,.36,.15,-.18,.03,"1,125"
.UPST221014C24,UPST 100 (Weeklys) 14 OCT 22 24 CALL,.93,+.65,+232.14%,"1,849",.88,.96,1.36,.16,.44,.13,-.23,.01,"1,115"
.WMT221014C133,WMT 100 (Weeklys) 14 OCT 22 133 CALL,1.54,+1.12,+266.67%,"2,138",1.50,1.57,2.15,.42,.48,.09,-.33,.05,"1,114"
.JNJ221014P162.5,JNJ 100 (Weeklys) 14 OCT 22 162.5 PUT,1.41,-1.38,-49.46%,552,1.50,1.66,1.96,1.06,-.47,.09,-.33,.06,"1,094"
.ABT221014P100,ABT 100 (Weeklys) 14 OCT 22 100 PUT,1.01,-.37,-26.81%,21,.88,1.05,1.58,.70,-.33,.08,-.30,.03,"1,094"
.PYPL221014P83,PYPL 100 (Weeklys) 14 OCT 22 83 PUT,2.12,+.42,+24.71%,"5,625",2.12,2.20,4.20,1.54,-.47,.07,-.43,.03,"1,080"
.TWLO221014P67,TWLO 100 (Weeklys) 14 OCT 22 67 PUT,2.31,+1.41,+156.67%,313,1.95,2.20,2.55,.91,-.42,.06,-.48,.02,"1,078"
.WBA221014C34,WBA 100 (Weeklys) 14 OCT 22 34 CALL,.54,+.25,+86.21%,365,.51,.55,.65,.32,.32,.13,-.18,.01,"1,071"
.RTX221014P83,RTX 100 (Weeklys) 14 OCT 22 83 PUT,.64,-.06,-8.57%,219,.56,.70,1.07,.42,-.30,.11,-.21,.03,"1,069"
.MS221014P75,MS 100 (Weeklys) 14 OCT 22 75 PUT,1.29,+.43,+50.00%,136,1.17,1.28,1.36,.84,-.34,.07,-.37,.02,"1,067"
.BAX221014C56,BAX 100 (Weeklys) 14 OCT 22 56 CALL,.75,+.20,+36.36%,6,.70,.85,.75,.75,.47,.18,-.17,.02,"1,062"
.FDX221014P150,FDX 100 (Weeklys) 14 OCT 22 150 PUT,2.04,+.30,+17.24%,417,1.84,2.10,2.60,1.29,-.38,.05,-.53,.05,"1,060"
.NVAX221014C20,NVAX 100 (Weeklys) 14 OCT 22 20 CALL,.82,+.32,+64.00%,"4,763",.73,.90,2.40,.23,.41,.13,-.23,.01,"1,057"
.CVX221014P155,CVX 100 (Weeklys) 14 OCT 22 155 PUT,1.82,-.09,-4.71%,627,1.70,1.90,3.20,.96,-.37,.05,-.50,.05,"1,056"
.PEP221014C165,PEP 100 (Weeklys) 14 OCT 22 165 CALL,1.52,+.22,+16.92%,"1,658",1.50,1.60,2.09,1.10,.36,.06,-.46,.05,"1,055"
.TGT221014C157.5,TGT 100 (Weeklys) 14 OCT 22 157.5 CALL,1.45,+.25,+20.83%,898,1.44,1.52,3.00,1.09,.34,.05,-.47,.05,"1,053"
.JPM221014P99,JPM 100 (Weeklys) 14 OCT 22 99 PUT,1.49,+.72,+93.51%,485,1.52,1.61,1.50,.90,-.32,.05,-.49,.03,"1,053"
.DVN221014P68,DVN 100 (Weeklys) 14 OCT 22 68 PUT,1.43,+.43,+43.00%,353,1.40,1.49,1.90,.85,-.44,.09,-.33,.02,"1,041"
.BYND221014P14,BYND 100 (Weeklys) 14 OCT 22 14 PUT,.71,-.19,-21.11%,213,.61,.68,.93,.48,-.45,.22,-.13,.00,"1,035"
.NVDA221014P114,NVDA 100 (Weeklys) 14 OCT 22 114 PUT,2.68,+.04,+1.52%,"8,755",2.65,2.70,4.27,1.89,-.40,.04,-.66,.04,"1,034"
.ATVI221014C74,ATVI 100 (Weeklys) 14 OCT 22 74 CALL,.27,-.28,-50.91%,170,.21,.41,.65,.23,.37,.30,-.09,.02,"1,033"
.PDD221014C56,PDD 100 (Weeklys) 14 OCT 22 56 CALL,1.64,-1.72,-51.19%,216,1.60,1.65,3.20,1.50,.49,.09,-.34,.02,"1,023"
.PYPL221014C85,PYPL 100 (Weeklys) 14 OCT 22 85 CALL,1.42,-.83,-36.89%,"2,029",1.38,1.44,2.19,.57,.38,.07,-.40,.03,"1,017"
.FCX221014P28.5,FCX 100 (Weeklys) 14 OCT 22 28.5 PUT,.59,+.07,+13.46%,99,.52,.56,.93,.35,-.36,.18,-.15,.01,"1,012"
.VLO221014C110,VLO 100 (Weeklys) 14 OCT 22 110 CALL,2.41,-.84,-25.85%,25,2.20,2.48,3.42,2.07,.50,.07,-.47,.04,"1,011"
.SYY221014C74,SYY 100 (Weeklys) 14 OCT 22 74 CALL,.77,+.32,+71.11%,1,.75,1.00,.77,.77,.43,.14,-.21,.03,"1,007"
.SHOP221014P24.5,SHOP 100 (Weeklys) 14 OCT 22 24.5 PUT,.55,+.19,+52.78%,443,.51,.55,.81,.33,-.30,.13,-.17,.01,"1,007"
.COIN221014C71,COIN 100 (Weeklys) 14 OCT 22 71 CALL,3.20,+1.49,+87.13%,"1,791",3.10,3.20,4.25,1.25,.49,.05,-.69,.02,"1,005"
.JD221014C48,JD 100 (Weeklys) 14 OCT 22 48 CALL,.58,-.63,-52.07%,"1,017",.54,.62,.92,.44,.30,.11,-.20,.01,"1,000"
